group,names,scores,logfoldchanges,pvals,pvals_adj
iEC,CG8206,-0.46128428,-0.30410263,0.6445946681497297,1.0
iEC,CG3337,-0.4622685,-0.54562974,0.6438887857392104,1.0
iEC,Gnf1,-0.4626498,-0.01325901,0.6436154220522972,1.0
iEC,Ttc7,-0.46287146,-0.42128932,0.643456511839736,1.0
iEC,CG11710,-0.46345666,-0.19661617,0.6430370672337715,1.0
iEC,CG6912,-0.46370494,-0.8976426,0.6428591553952651,1.0
iEC,CG34250,-0.46421036,-0.27428415,0.6424970410181704,1.0
iEC,CG14907,-0.4649463,-0.34507358,0.641969903591005,1.0
iEC,alt,-0.46510592,-0.14637464,0.641855608419597,1.0
iEC,CG5359,-0.4651414,-0.7301022,0.6418302106447085,1.0
iEC,ranshi,-0.46555814,-1.3887258,0.6415318181819372,1.0
iEC,mus101,-0.46603695,-0.021582553,0.6411890557538494,1.0
iEC,CG7352,-0.46644482,-0.50445443,0.6408971332638829,1.0
iEC,CG7785,-0.46804973,-0.26694617,0.6397490212462975,1.0
iEC,mRpS7,-0.4680852,-0.06632918,0.6397236583331745,1.0
iEC,Cyp9c1,-0.46863496,-0.33753842,0.6393305870394113,1.0
iEC,Atac3,-0.46884775,-0.3878816,0.6391784575883557,1.0
iEC,Naa15-16,-0.46984974,0.057225134,0.6384623854766749,1.0
iEC,Spindly,-0.4698852,-0.070849285,0.6384370439642455,1.0
iEC,CG42259,-0.47100243,-0.40354875,0.6376390026330814,1.0
iEC,Paf-AHalpha,-0.4713305,0.02286578,0.6374047368718451,1.0
iEC,CG32639,-0.4719512,-1.9620789,0.6369616304822614,1.0
iEC,Cdc6,-0.47327235,-0.21460424,0.6360188791803022,1.0
iEC,CG6689,-0.4735827,-0.43050236,0.635797512955292,1.0
iEC,CG8128,-0.47444278,-1.5083141,0.6351841823440523,1.0
iEC,Gem3,-0.4745758,-0.07482703,0.6350893597346843,1.0
iEC,CG31229,-0.474629,-0.19162028,0.6350514323666803,1.0
iEC,CG32829,-0.4752763,-1.7041264,0.6345900594559126,1.0
iEC,Hmr,-0.47533834,-0.1529457,0.6345458256721075,1.0
iEC,CG3918,-0.47573736,-0.031111212,0.6342614968000753,1.0
iEC,CG17219,-0.4766684,-0.88310826,0.6335982726996741,1.0
iEC,CG6454,-0.4775994,-0.050365817,0.63293534286712,1.0
iEC,ProRS-m,-0.4792132,-1.0716858,0.6317869628864914,1.0
iEC,CG32099,-0.47925752,-1.5610569,0.6317554265047758,1.0
iEC,thoc6,-0.48033044,-0.37650406,0.6309924504972066,1.0
iEC,alrm,-0.48095998,-1.9758068,0.6305449367905902,1.0
iEC,nesd,-0.4821925,-0.24213058,0.6296692107881838,1.0
iEC,CG10494,-0.4823787,-1.0161419,0.629536952075143,1.0
iEC,Lfg,-0.48273337,-2.8776798,0.6292850635828668,1.0
iEC,CG32537,-0.48308805,-0.6735059,0.6290332182138635,1.0
iEC,CG13926,-0.48348707,-0.5607348,0.6287499437497686,1.0
iEC,GstT1,-0.48448902,-0.26421583,0.6280388510610107,1.0
iEC,Sirt2,-0.48462203,-0.50278515,0.6279444841603701,1.0
iEC,Arv1,-0.4852782,-0.5025521,0.62747902982735,1.0
iEC,CG2021,-0.4855176,-0.4153633,0.6273092387843239,1.0
iEC,CG9864,-0.48643088,-0.9525434,0.6266616987022413,1.0
iEC,CG1371,-0.48643976,0.10481717,0.6266554133143738,1.0
iEC,Idh3g,-0.48666143,-0.025167435,0.6264982874294971,1.0
iEC,pygo,-0.48745057,0.024346583,0.6259390568982421,1.0
iEC,Rheb,-0.48793826,-0.097743645,0.6255935725067152,1.0
iEC,CG7457,-0.4891885,-0.02004814,0.6247082517956191,1.0
iEC,CG2931,-0.49001312,-0.14092144,0.6241246130490434,1.0
iEC,Ir100a,-0.4905008,-2.3847332,0.6237795612856192,1.0
iEC,CNT2,-0.49105942,-1.4294796,0.6233844215871838,1.0
iEC,CG5793,-0.49195498,-0.43208006,0.6227511698453447,1.0
iEC,Upf3,-0.49220327,-0.16166724,0.6225756642733954,1.0
iEC,APP-BP1,-0.49230966,-0.19268441,0.6225004541642338,1.0
iEC,c12.2,-0.49233624,-0.3944725,0.6224816522524885,1.0
iEC,dpr21,-0.49246925,-1.6930996,0.6223876463875375,1.0
iEC,Mipp2,-0.49367517,-0.58014077,0.6215356076877563,1.0
